,res,nx,n_iter,time,threads,vectorized
178,0.0576041,1024,1000,0.809037,4,True
179,0.0576041,1024,1000,0.773342,4,True
180,0.0576041,1024,1000,0.926541,8,True
181,0.0576041,1024,1000,0.800705,8,True
182,0.0576041,1024,1000,0.854338,8,True
183,0.0576041,1024,1000,0.931374,8,True
184,0.0576041,1024,1000,0.82014,8,True
185,0.0576041,1024,1000,0.882025,8,True
186,0.0576041,1024,1000,0.831551,8,True
187,0.0576041,1024,1000,0.902632,8,True
188,0.0576041,1024,1000,0.806511,8,True
189,0.0576041,1024,1000,0.965293,8,True
190,0.0576041,1024,1000,0.827401,8,True
191,0.0576041,1024,1000,0.870184,8,True
192,0.0576041,1024,1000,0.877241,8,True
193,0.0576041,1024,1000,0.847767,8,True
194,0.0576041,1024,1000,0.878855,8,True
195,0.0576041,1024,1000,0.889129,8,True
196,0.0576041,1024,1000,0.850597,8,True
197,0.0576041,1024,1000,0.878642,8,True
198,0.0576041,1024,1000,0.934442,8,True
199,0.0576041,1024,1000,0.873688,8,True
200,0.0576041,1024,1000,0.80446,8,True
201,0.0576041,1024,1000,0.887389,8,True
202,0.0576041,1024,1000,0.896451,8,True
203,0.0576041,1024,1000,0.874673,8,True
204,0.0576041,1024,1000,0.858244,8,True
205,0.0576041,1024,1000,0.795039,8,True
206,0.0576041,1024,1000,0.861322,8,True
207,0.0576041,1024,1000,0.814701,8,True
208,0.0576041,1024,1000,0.930941,8,True
209,0.0576041,1024,1000,0.913815,8,True
210,0.0576041,1024,1000,1.31532,16,True
211,0.0576041,1024,1000,1.2954,16,True
212,0.0576041,1024,1000,1.34306,16,True
213,0.0576041,1024,1000,1.39401,16,True
214,0.0576041,1024,1000,1.24703,16,True
215,0.0576041,1024,1000,1.31989,16,True
216,0.0576041,1024,1000,1.28424,16,True
217,0.0576041,1024,1000,1.32617,16,True
218,0.0576041,1024,1000,1.34681,16,True
219,0.0576041,1024,1000,1.28836,16,True
220,0.0576041,1024,1000,1.35511,16,True
